,Q6,Q7
,"What is the percentage of students in your course(s), with moderate critical reading skills, who might improve to an excellent critical reading skill level?","What is the percentage of students in your course(s), with poor critical reading skills, who might improve to at least a moderate critical reading skill level?"
,"{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}"
Average,44.9%,32.7%
,65,5
,15,10
,70,70
,2,80
,90,60
,30,15
,10,5
,20,5
,20,40
,40,55
,50,20
,5,10
,20,20
,15,40
,25,0
,20,10
,50,100
,50,50
,80,100
,25,30
,90,80
,5,5
,40,10
,75,50
,100,50
,60,40
,25,50
,60,25
,60,5
,90,10
,80,10
,25,10
,70,10
,,
,,
,,
,,
,,
